Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Ethnicity,Occupation,Social Classification,Manner of Death,Place of Death,Place of Detainment,Wikipedia Page
http://www.wikidata.org/entity/Q43395377,Helene Wilsoun,Dysart,-3.12538,56.12557,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395383,Issobell Leslie,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395399,Margaret Udny,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395401,Margaret Ronaldson,Aberdeen,-2.1,57.15,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395408,Elizabeth Hamiltoun,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395428,Helen Umpherstone,Aberlady,-2.86,56.01,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395442,Jennet Wilsone,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395462,Alisone Johnstoune,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395463,Barbara Park,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395471,Elspeth Falconner,North Berwick,-2.717,56.058,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395476,Margarett Broun,Pencaitland,-2.89098,55.91,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395482,Jean Shanks,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43395483,Bessie Adamsone,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391033,Bessie Friece,Auldearn,-3.81595,57.5765,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391111,Jonet Dewar,Haddington,-2.78332,55.95612,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391299,Grissell Walker,Humbie,-2.86735,55.8544,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391410,Margaret Wilkin,Dumfries,-3.616666666,55.06666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391425,Jean Whythill,Renfrew,-4.366666666,55.86666667,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391488,Helen Tait,Buittle,-3.866,54.942,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391506,Marion Robertson,Fisherrow,-3.0583,55.9463,Female,NA,NA,NA,NA,NA,NA,NA
http://www.wikidata.org/entity/Q43391543,Jonnet Henrie,Skateraw,-2.42762,55.9679,Female,NA,NA,NA,NA,NA,NA,NA
